Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9533, Recall: 0,9700, F1-Score: 0,9616
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9627, Recall: 0,9675, F1-Score: 0,9651
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9627, Recall: 0,9675, F1-Score: 0,9651
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,25%, Precision: 0,9849, Recall: 0,9800, F1-Score: 0,9825
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9624, Recall: 0,9600, F1-Score: 0,9612
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,99, L2: 0,0000] -> Accuracy: 96,88%, Precision: 0,9540, Recall: 0,9850, F1-Score: 0,9692
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9533, Recall: 0,9700, F1-Score: 0,9616
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,00%, Precision: 0,9653, Recall: 0,9750, F1-Score: 0,9701
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9533, Recall: 0,9700, F1-Score: 0,9616
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,13%, Precision: 0,9542, Recall: 0,9900, F1-Score: 0,9718
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,38%, Precision: 0,9726, Recall: 0,9750, F1-Score: 0,9738
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9624, Recall: 0,9600, F1-Score: 0,9612
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,38%, Precision: 0,9702, Recall: 0,9775, F1-Score: 0,9738
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 95,13%, Precision: 0,9188, Recall: 0,9900, F1-Score: 0,9531
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9624, Recall: 0,9600, F1-Score: 0,9612
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9627, Recall: 0,9675, F1-Score: 0,9651
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,00%, Precision: 0,9510, Recall: 0,9700, F1-Score: 0,9604
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,25%, Precision: 0,9625, Recall: 0,9625, F1-Score: 0,9625
